USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
702615,99999,WAINWRIGHT AAF,US,AK,PAFB,64.833,-147.617,140,19410206,20051230
702616,99999,OLD MAN,US,AK,,66.45,-150.583,389,19750108,19761123
702625,104,NIKOLAI AIRPORT,US,AK,PAFS,63.017,-154.367,126.2,20061024,20201030
702625,99999,NIKOLAI,US,AK,PAFS,63.02,-154.36,126,20080101,20081231
702626,99999,PILOT POINT,US,AK,PAPN,57.58,-157.58,17,20061024,20201029
702627,26561,RUBY  AIRPORT,US,AK,PARY,64.727,-155.47,199,20061001,20200603
702628,105,MARSHALL DON HUNTER SR AIRPORT,US,AK,PADM,61.867,-162.033,31.1,20061024,20201030
702628,99999,MARSHALL DON HUNTER SR,US,AK,PADM,61.864,-162.026,31.4,20080101,20180103
702629,99999,CAPE DECISION CG HELIPORT,US,AK,,56,-134.133,10,20080915,20110608
702640,26414,SUMMIT,US,AK,PAST,63.331,-149.127,734.3,19730101,19840107
702645,46403,MCKINLEY NATIONAL PARK AIRPORT,US,AK,PAIN,63.733,-148.917,524.3,20060101,20201030
702645,99999,MCKINLEY NATIONAL PK,US,AK,PAIN,63.733,-148.917,524,19751202,20051231
702646,99999,MT MCKINLEY NATL PK,US,AK,,63.65,-148.8,625,19760116,19760427
702647,26499,HEALY RIVER AIRPORT,US,AK,PAHV,63.866,-148.969,3945.3,20060101,20120608
702647,99999,HEALY RIVER AIRPORT,US,AK,PAHV,63.87,-148.97,394,19761221,20051231
702648,46406,CANTWELL AIRPORT,US,AK,PATW,63.391,-148.956,667.5,20060102,20110827
702648,99999,CANTWELL CANTWELL,US,AK,PATW,63.4,-148.95,668,19831103,20051205
702650,26407,EIELSON AFB AIRPORT,US,AK,PAEI,64.683,-147.083,166.7,20060102,20201030
702650,99999,FAIRBANKS/EIELSON A,US,AK,PAEI,64.65,-147.067,167,19441111,20051231
702653,99999,EIELSON AFB       &,US,AK,,64.65,-147.067,167,19750814,19750814
702660,99999,FORT GREELY  AK,US,AK,,63.967,-145.7,398,19440626,19900628
702670,26415,ALLEN ARMY AIRFIELD,US,AK,PABI,63.994,-145.721,389.2,19451015,20201030
702673,99999,BIG DELTA ARCTIC WX,US,AK,,64,-145.717,389,19800303,19841204
702674,99999,CIRCLE CITY AIRPORT,US,AK,,65.833,-144.067,182,19790507,20091019
702675,26484,PAXSON AIRPORT,US,AK,PAXK,63.032,-145.498,823,20060101,20101003
702675,99999,PAXSON,US,AK,PAXK,63.033,-145.5,809,19740419,20051231
702677,99999,ISABELL PASS CAMP,US,AK,Z32,63.083,-145.5,978,19750929,19761202
702680,99999,GLENNALLEN  AK,US,AK,,62.1,-145.967,573,19750401,19900504
702685,27518,ATQASUK EDWARD BURNELL SR. MEMORIAL AIRPORT,US,AK,PATQ,70.467,-157.436,29.3,20060501,20201030
702686,106,KIPNUK AIRPORT,US,AK,PAKI,60.9,-161.233,9.1,20060501,20200929
702686,99999,AKIAK,US,AK,PAKI,60.903,-161.231,9.1,20080101,20081231
702695,96402,JONESVILLE MINE AIRPORT,US,AK,PAJV,61.714,-148.909,167.6,20060101,20111102
702695,99999,SUTTON,US,AK,PAJV,61.717,-148.883,265,19920416,20051231
702696,99999,LAZY MTN/WOLVERINE,US,AK,,61.633,-149.033,236,19780315,20040214
702697,107,NEW STUYAHOK AIRPORT,US,AK,PANW,59.45,-157.333,92.1,20061010,20201030
702697,99999,NEW STUYAHOK,US,AK,PANW,59.45,-157.33,92,20080101,20180322
702700,489,BRYANT ARMY AIRFIELD HELIPORT,US,AK,PAFR,61.266,-149.653,118.3,20130415,20201030
702710,26425,GULKANA AIRPORT,US,AK,PAGK,62.159,-145.459,476.1,19450101,20201030
702711,26439,SHEEP MOUNTAIN AIRPORT,US,AK,PASP,61.812,-147.507,853.4,20050101,20111101
702711,99999,SHEEP MOUNTAIN,US,AK,PASP,61.817,-147.55,799,19970203,20041231
702715,46407,SKELTON AIRPORT,US,AK,PAZK,61.949,-147.169,1002.5,20060101,20201030
702715,99999,EUREKA SKELTON AIR,US,AK,PAZK,61.933,-147.167,1002,19950708,20051231
